,FIPS,State,Area_Name,POP_ESTIMATE_2014,HH_income_2014,Unemployment_rate_2014,Alcohol Mortality Rate,Alcohol Mortality Rate(F),Alcohol Mortality Rate(M),Drug Mortality Rate,Drug Mortality Rate(F),Drug Mortality Rate(M),Self-harm Mortality Rate,Self-harm Mortality Rate(F),Self-harm Mortality Rate(M),Int. Violence Mortality Rate,Int. Violence Mortality Rate(F),Int. Violence Mortality Rate(M),Common State Abbreviation,Rural Status Description,HPSA Postal Code,Provider Type,Common County Name,HPSA Degree of Shortage,HPSA Designation Population,HPSA Estimated Served Population,HPSA Score,HPSA Shortage
40,1027.0,AL,Clay County,"13,440","35,940",7.1,1.95,1.23,2.82,7.5,4.44,11.74,18.45,16.47,20.46,6.26,3.9,9.23,AL,Rural,,Psychiatrist,"Clay County, AL",Not applicable,124490.0,20000.0,18,7.3
41,1029.0,AL,Cleburne County,"15,025","40,418",6.6,1.51,0.92,2.26,11.37,8.07,15.18,26.27,23.36,29.25,9.64,6.66,13.39,AL,Rural,,Psychiatrist,"Cleburne County, AL",Not applicable,128999.0,101400.0,10,3.07
42,1031.0,AL,Coffee County,"50,655","46,931",6.6,1.43,0.95,1.96,5.83,4.0,7.9,14.89,13.6,16.24,4.84,3.41,6.49,AL,Rural,,Psychiatrist,"Coffee County, AL",Not applicable,121233.0,37000.0,18,6.23
43,1033.0,AL,Colbert County,"54,468","43,057",8.3,1.69,1.13,2.48,8.31,6.25,10.97,21.26,19.26,23.24,8.28,6.13,10.75,AL,Non-Rural,,Psychiatrist,"Colbert County, AL",Not applicable,176046.0,138000.0,11,4.84
45,1035.0,AL,Conecuh County,"12,679","29,101",10.3,3.13,1.9,4.49,10.51,6.52,15.44,21.7,18.29,25.16,14.99,10.64,19.78,AL,Rural,,Psychiatrist,"Conecuh County, AL",Not applicable,95939.0,17600.0,18,5.52
46,1037.0,AL,Coosa County,"11,038","34,679",8.8,3.01,1.97,4.21,10.27,6.39,14.67,20.1,17.8,22.65,9.47,6.45,13.16,AL,Rural,,Psychiatrist,"Coosa County, AL",Not applicable,124490.0,20000.0,18,7.3
47,1039.0,AL,Covington County,"37,756","36,149",7.8,2.25,1.61,3.01,7.12,5.01,9.84,18.7,17.16,20.4,6.21,4.59,8.24,AL,Rural,,Psychiatrist,"Covington County, AL",Not applicable,121233.0,37000.0,18,6.23
48,1041.0,AL,Crenshaw County,"13,859","34,445",6.9,3.72,2.6,4.98,7.56,4.4,11.88,17.5,15.14,19.68,11.33,7.93,15.16,AL,Rural,,Psychiatrist,"Crenshaw County, AL",Not applicable,121233.0,37000.0,18,6.23
49,1043.0,AL,Cullman County,"81,067","39,922",6.1,1.37,0.87,2.0,14.49,11.88,17.44,19.31,17.89,20.77,4.49,3.2,6.07,AL,Rural,,Psychiatrist,"Cullman County, AL",Not applicable,79581.0,38000.0,16,3.41
50,1045.0,AL,Dale County,"49,417","41,940",7.1,1.81,1.22,2.46,7.8,5.68,10.07,14.68,13.35,16.01,6.38,4.61,8.56,AL,Rural,,Psychiatrist,"Dale County, AL",Not applicable,92192.0,32800.0,17,4.51
52,1047.0,AL,Dallas County,"41,562","26,602",11.2,2.49,1.76,3.32,6.84,4.72,9.48,13.88,11.48,16.25,23.62,19.59,27.43,AL,Rural,,Psychiatrist,"Dallas County, AL",Not applicable,62810.0,4600.0,20,3.96
53,1049.0,AL,DeKalb County,"70,999","36,241",6.9,1.75,1.18,2.44,10.77,8.35,13.41,18.67,17.32,19.99,5.76,4.22,7.46,AL,Rural,,Psychiatrist,"DeKalb County, AL",Not applicable,88885.0,9000.0,17,5.48
56,1051.0,AL,Elmore County,"80,568","54,298",5.7,1.15,0.77,1.62,6.19,4.63,8.02,16.73,15.21,18.16,7.11,5.44,9.07,AL,Partially Rural,,Psychiatrist,"Elmore County, AL",Not applicable,138714.0,45800.0,16,6.96
57,1051.0,AL,Elmore County,"80,568","54,298",5.7,1.15,0.77,1.62,6.19,4.63,8.02,16.73,15.21,18.16,7.11,5.44,9.07,AL,Non-Rural,36092-5343,,"Elmore County, AL",12,969.0,,12,0.48
59,1053.0,AL,Escambia County,"37,738","37,077",8.0,4.4,3.32,5.68,11.19,7.87,15.05,22.63,20.41,24.92,10.75,7.91,13.71,AL,Rural,,Psychiatrist,"Escambia County, AL",Not applicable,95939.0,17600.0,18,5.52
60,1053.0,AL,Escambia County,"37,738","37,077",8.0,4.4,3.32,5.68,11.19,7.87,15.05,22.63,20.41,24.92,10.75,7.91,13.71,AL,Rural,36502-4271,,"Escambia County, AL",6,1757.0,,15,0.38
62,1055.0,AL,Etowah County,"103,407","39,904",7.0,1.49,1.0,2.12,14.28,11.76,17.3,20.03,18.52,21.61,9.02,7.01,11.36,AL,Partially Rural,,Psychiatrist,"Etowah County, AL",Not applicable,88885.0,9000.0,17,5.48
63,1057.0,AL,Fayette County,"16,768","35,664",7.8,2.39,1.35,3.53,16.47,11.85,21.99,22.49,20.14,24.81,7.11,4.52,10.25,AL,Rural,,Psychiatrist,"Fayette County, AL",Not applicable,149288.0,60000.0,19,6.95
65,1059.0,AL,Franklin County,"31,561","33,881",7.7,1.82,1.07,2.81,17.26,13.4,21.64,21.34,19.63,23.25,6.84,4.67,9.39,AL,Rural,,Psychiatrist,"Franklin County, AL",Not applicable,176046.0,138000.0,11,4.84
66,1061.0,AL,Geneva County,"26,597","34,425",6.7,1.54,1.02,2.2,6.46,4.24,9.3,17.75,16.05,19.46,6.82,4.75,9.34,AL,Partially Rural,,Psychiatrist,"Geneva County, AL",Not applicable,92192.0,32800.0,17,4.51
67,1063.0,AL,Greene County,"8,585","26,504",12.5,2.46,1.59,3.43,6.91,3.7,11.19,17.11,13.36,21.05,21.48,15.87,27.49,AL,Rural,,Psychiatrist,"Greene County, AL",Not applicable,70241.0,0.0,18,4.68
68,1065.0,AL,Hale County,"15,047","33,315",9.9,1.58,0.95,2.32,6.58,3.95,9.9,13.76,11.5,16.09,12.37,8.97,16.59,AL,Non-Rural,,Psychiatrist,"Hale County, AL",Not applicable,70241.0,0.0,18,4.68
69,1067.0,AL,Henry County,"17,082","39,930",7.5,1.79,1.13,2.59,6.31,3.79,9.82,16.02,14.07,18.11,7.69,5.24,10.66,AL,Partially Rural,,Psychiatrist,"Henry County, AL",Not applicable,92192.0,32800.0,17,4.51
70,1069.0,AL,Houston County,"104,156","40,124",6.8,2.25,1.6,2.97,9.57,7.3,12.16,13.61,12.44,14.8,6.79,5.26,8.63,AL,Non-Rural,,Psychiatrist,"Houston County, AL",Not applicable,92192.0,32800.0,17,4.51
72,1071.0,AL,Jackson County,"52,562","36,923",7.3,2.23,1.6,3.03,10.29,7.75,13.49,21.97,20.21,23.81,6.36,4.62,8.43,AL,Rural,,Psychiatrist,"Jackson County, AL",Not applicable,145457.0,20000.0,15,8.7
77,1073.0,AL,Jefferson County,"659,918","44,852",6.3,3.71,2.99,4.57,22.64,20.47,24.74,15.33,14.16,16.54,14.92,13.29,16.55,AL,Non-Rural,35023-7228,,"Jefferson County, AL",6,1806.0,,6,0.7
78,1073.0,AL,Jefferson County,"659,918","44,852",6.3,3.71,2.99,4.57,22.64,20.47,24.74,15.33,14.16,16.54,14.92,13.29,16.55,AL,Non-Rural,,Psychiatrist,"Jefferson County, AL",Not applicable,296830.0,62600.0,18,16.66
79,1075.0,AL,Lamar County,"14,067","34,553",7.0,1.27,0.67,2.04,9.57,6.23,13.94,16.33,14.7,18.14,4.3,2.53,6.74,AL,Rural,,Psychiatrist,"Lamar County, AL",Not applicable,149288.0,60000.0,19,6.95
80,1077.0,AL,Lauderdale County,"93,013","41,324",7.2,2.15,1.54,2.88,10.38,8.16,12.98,17.34,15.97,18.68,6.56,4.92,8.45,AL,Non-Rural,,Psychiatrist,"Lauderdale County, AL",Not applicable,176046.0,138000.0,11,4.84
81,1079.0,AL,Lawrence County,"33,448","41,574",8.2,1.9,1.19,2.78,13.83,10.47,17.66,22.84,20.61,24.98,8.09,5.76,10.86,AL,Partially Rural,,Psychiatrist,"Lawrence County, AL",Not applicable,86129.0,7400.0,12,5.37
82,1081.0,AL,Lee County,"154,545","41,256",5.6,1.73,1.27,2.27,5.41,3.86,7.04,12.93,11.75,14.09,7.02,5.39,8.77,AL,Non-Rural,,Psychiatrist,"Lee County, AL",Not applicable,272703.0,52600.0,17,15.55
83,1083.0,AL,Limestone County,"90,596","51,175",6.1,1.31,0.9,1.81,6.71,5.1,8.7,16.54,15.16,17.94,6.21,4.56,8.06,AL,Partially Rural,,Psychiatrist,"Limestone County, AL",Not applicable,86129.0,7400.0,12,5.37
84,1083.0,AL,Limestone County,"90,596","51,175",6.1,1.31,0.9,1.81,6.71,5.1,8.7,16.54,15.16,17.94,6.21,4.56,8.06,AL,Non-Rural,35749-7009,,"Limestone County, AL",12,3166.0,,12,1.58
85,1085.0,AL,Lowndes County,"10,498","30,675",12.8,1.67,1.09,2.34,4.59,2.69,7.32,13.82,11.19,16.92,22.3,17.4,27.41,AL,Non-Rural,,Psychiatrist,"Lowndes County, AL",Not applicable,138714.0,45800.0,16,6.96
88,1087.0,AL,Macon County,"19,648","28,518",9.1,2.71,1.81,3.7,7.37,4.36,11.36,14.14,11.39,17.1,24.53,19.99,29.56,AL,Rural,,Psychiatrist,"Macon County, AL",Not applicable,59768.0,20000.0,17,2.98
92,1091.0,AL,Marengo County,"19,980","32,977",8.0,2.08,1.4,2.82,6.43,3.91,9.46,11.36,9.72,13.04,9.57,6.84,12.31,AL,Rural,,Psychiatrist,"Marengo County, AL",Not applicable,70241.0,0.0,18,4.68
94,1093.0,AL,Marion County,"30,202","37,707",7.9,1.02,0.61,1.55,7.2,5.01,9.96,19.97,18.31,21.68,5.88,3.99,8.36,AL,Rural,,Psychiatrist,"Marion County, AL",Not applicable,149288.0,60000.0,19,6.95
96,1095.0,AL,Marshall County,"94,277","36,536",6.7,2.53,1.71,3.43,13.49,10.68,16.47,19.98,18.54,21.36,5.61,4.15,7.19,AL,Rural,,Psychiatrist,"Marshall County, AL",Not applicable,145457.0,20000.0,15,8.7
101,1097.0,AL,Mobile County,"414,590","42,943",7.7,3.76,3.04,4.51,11.82,9.95,13.76,15.58,14.2,16.88,14.01,12.12,16.01,AL,Partially Rural,,Psychiatrist,"Mobile County, AL",Not applicable,175294.0,13200.0,19,11.03
102,1099.0,AL,Monroe County,"21,927","34,733",11.1,2.31,1.5,3.16,7.93,5.25,11.61,16.18,13.86,18.49,12.11,8.9,15.51,AL,Rural,,Psychiatrist,"Monroe County, AL",Not applicable,95939.0,17600.0,18,5.52
104,1101.0,AL,Montgomery County,"227,546","43,054",6.9,1.62,1.25,2.08,6.05,4.73,7.59,12.63,11.2,14.12,17.11,15.01,19.43,AL,Non-Rural,,Psychiatrist,"Montgomery County, AL",Not applicable,138714.0,45800.0,16,6.96
105,1101.0,AL,Montgomery County,"227,546","43,054",6.9,1.62,1.25,2.08,6.05,4.73,7.59,12.63,11.2,14.12,17.11,15.01,19.43,AL,Non-Rural,36117-5758,,"Montgomery County, AL",6,20236.0,,6,9.12
106,1103.0,AL,Morgan County,"119,458","45,082",6.6,2.15,1.54,2.84,11.41,9.09,13.79,19.08,17.73,20.59,6.4,4.89,8.16,AL,Partially Rural,,Psychiatrist,"Morgan County, AL",Not applicable,86129.0,7400.0,12,5.37
107,1105.0,AL,Perry County,"9,804","27,403",12.1,3.4,2.13,4.87,9.95,5.59,15.64,12.79,10.12,15.65,15.83,11.44,20.31,AL,Rural,,Psychiatrist,"Perry County, AL",Not applicable,62810.0,4600.0,20,3.96
108,1107.0,AL,Pickens County,"20,283","31,933",8.2,1.44,0.84,2.26,10.53,7.38,14.32,14.42,12.7,16.18,7.45,5.28,9.96,AL,Partially Rural,,Psychiatrist,"Pickens County, AL",Not applicable,91385.0,4200.0,18,5.88
110,1109.0,AL,Pike County,"33,197","31,844",7.4,3.62,2.67,4.76,6.7,4.23,9.85,17.17,15.16,19.2,9.33,6.59,12.63,AL,Rural,,Psychiatrist,"Pike County, AL",Not applicable,59768.0,20000.0,17,2.98
113,1111.0,AL,Randolph County,"22,355","36,939",6.7,1.85,1.18,2.67,10.04,7.01,13.59,20.18,17.96,22.31,9.02,6.41,12.24,AL,Rural,,Psychiatrist,"Randolph County, AL",Not applicable,124490.0,20000.0,18,7.3
114,1113.0,AL,Russell County,"59,211","35,585",6.5,3.23,2.41,4.17,9.0,6.57,12.04,18.02,15.97,20.12,12.29,9.59,15.39,AL,Non-Rural,,Psychiatrist,"Russell County, AL",Not applicable,272703.0,52600.0,17,15.55
116,1115.0,AL,St. Clair County,"85,995","50,571",5.8,1.76,1.19,2.49,16.46,13.46,19.51,21.34,19.61,23.05,7.07,5.41,9.23,AL,Non-Rural,35146-5582,,"St. Clair County, AL",12,1355.0,,12,0.68
117,1115.0,AL,St. Clair County,"85,995","50,571",5.8,1.76,1.19,2.49,16.46,13.46,19.51,21.34,19.61,23.05,7.07,5.41,9.23,AL,Partially Rural,,Psychiatrist,"St. Clair County, AL",Not applicable,296830.0,62600.0,18,16.66
118,1117.0,AL,Shelby County,"206,356","69,432",4.5,1.42,0.99,1.93,11.42,9.73,13.25,14.0,12.99,14.99,4.55,3.55,5.75,AL,Partially Rural,,Psychiatrist,"Shelby County, AL",Not applicable,246122.0,229200.0,11,4.67
119,1119.0,AL,Sumter County,"13,275","25,413",8.5,1.92,1.28,2.71,5.4,3.23,8.42,12.03,9.89,14.05,11.73,8.51,15.27,AL,Rural,,Psychiatrist,"Sumter County, AL",Not applicable,70241.0,0.0,18,4.68
120,1121.0,AL,Talladega County,"81,450","39,999",7.8,1.23,0.81,1.73,8.97,6.86,11.36,17.33,15.75,19.03,9.83,7.61,12.36,AL,Rural,,Psychiatrist,"Talladega County, AL",Not applicable,124490.0,20000.0,18,7.3
121,1121.0,AL,Talladega County,"81,450","39,999",7.8,1.23,0.81,1.73,8.97,6.86,11.36,17.33,15.75,19.03,9.83,7.61,12.36,AL,Rural,35160-4811,,"Talladega County, AL",12,795.0,,21,0.4
122,1123.0,AL,Tallapoosa County,"40,887","36,779",7.5,2.09,1.42,2.84,7.61,5.09,10.74,18.36,16.46,20.48,10.69,8.0,13.78,AL,Rural,,Psychiatrist,"Tallapoosa County, AL",Not applicable,272703.0,52600.0,17,15.55
124,1125.0,AL,Tuscaloosa County,"203,097","46,892",5.9,2.18,1.61,2.88,11.74,9.52,14.14,13.84,12.61,15.09,8.1,6.5,9.93,AL,Non-Rural,,Psychiatrist,"Tuscaloosa County, AL",Not applicable,91385.0,4200.0,18,5.88
126,1127.0,AL,Walker County,"65,336","37,245",7.9,2.31,1.47,3.53,34.68,30.07,39.83,29.88,27.69,32.14,11.12,8.49,14.38,AL,Partially Rural,,Psychiatrist,"Walker County, AL",Not applicable,149288.0,60000.0,19,6.95
127,1129.0,AL,Washington County,"16,868","41,321",9.6,2.44,1.71,3.36,6.37,3.87,9.74,16.33,14.12,18.38,9.3,6.53,12.84,AL,Rural,,Psychiatrist,"Washington County, AL",Not applicable,175294.0,13200.0,19,11.03
128,1131.0,AL,Wilcox County,"10,953","24,035",16.9,2.57,1.73,3.53,6.74,3.51,10.98,16.27,13.16,19.23,19.39,14.43,24.85,AL,Rural,,Psychiatrist,"Wilcox County, AL",Not applicable,62810.0,4600.0,20,3.96
129,1133.0,AL,Winston County,"24,137","35,528",8.6,1.34,0.79,2.03,11.23,8.06,14.82,19.91,17.76,22.05,7.2,4.83,10.09,AL,Rural,,Psychiatrist,"Winston County, AL",Not applicable,149288.0,60000.0,19,6.95
130,2013.0,AK,Aleutians East Borough,"3,348","55,462",4.5,5.37,3.73,7.32,5.42,2.96,8.71,9.03,7.29,10.88,2.5,1.2,4.61,AK,Rural,,Psychiatrist,"Aleutians East Borough, AK",Not applicable,3284.0,0.0,9,0.16
132,2016.0,AK,Aleutians West Census Area,"5,822","68,387",4.8,5.37,3.73,7.32,5.42,2.96,8.71,9.03,7.29,10.88,2.5,1.2,4.61,AK,Rural,,Psychiatrist,"Aleutians West Census Area, AK",Not applicable,5434.0,0.0,10,0.27
140,2050.0,AK,Bethel Census Area,"17,933","45,808",16.1,23.82,19.54,28.74,6.77,2.61,13.52,55.07,47.8,62.15,13.02,8.03,19.58,AK,Rural,,Psychiatrist,"Bethel Census Area, AK",Not applicable,24947.0,0.0,18,1.25
143,2060.0,AK,Bristol Bay Borough,949,"75,364",8.0,13.26,6.76,21.73,14.03,4.7,27.61,44.76,33.06,57.24,8.24,3.15,17.3,AK,Rural,,Psychiatrist,"Bristol Bay Borough, AK",Not applicable,7389.0,0.0,14,0.37
145,2068.0,AK,Denali Borough,"1,915","69,692",10.4,32.94,27.61,39.01,8.8,4.47,15.54,64.22,55.34,72.5,16.27,10.54,23.56,AK,Rural,,Psychiatrist,"Denali Borough, AK",Not applicable,1983.0,0.0,8,0.1
148,2070.0,AK,Dillingham Census Area,"4,983","51,082",10.1,31.31,25.77,37.39,11.04,5.59,19.17,38.17,32.64,43.98,10.36,6.25,15.9,AK,Rural,,Psychiatrist,"Dillingham Census Area, AK",Not applicable,7389.0,0.0,14,0.37
158,2100.0,AK,Haines Borough,"2,555","67,260",10.7,7.47,4.95,10.71,6.23,2.39,11.57,19.9,15.5,24.65,2.57,1.04,5.28,AK,Rural,,Psychiatrist,"Haines Borough, AK",Not applicable,2516.0,0.0,8,0.13
159,2105.0,AK,Hoonah-Angoon Census Area,"2,103","51,687",15.2,10.29,7.82,13.08,5.67,2.69,10.04,23.1,19.9,26.69,4.14,2.21,7.37,AK,Rural,,Psychiatrist,"Hoonah-Angoon Census Area, AK",Not applicable,2117.0,0.0,9,0.11
163,2122.0,AK,Kenai Peninsula Borough,"57,565","62,532",7.9,7.25,5.76,8.92,12.52,9.5,15.82,27.43,25.37,29.66,4.14,2.92,5.74,AK,,,Psychiatrist,"Kenai Peninsula Borough, AK",Not applicable,5152.0,2000.0,0,0.81
