FIPS,Common State Abbreviation,Rural Status Description,HPSA Postal Code,Provider Type,Common County Name,HPSA Degree of Shortage,HPSA Designation Population,HPSA Estimated Served Population,HPSA Score,HPSA Shortage
72005,PR,Non-Rural,,,"Aguadilla Municipio, PR",Not applicable,169525.0,,0,0.0
72003,PR,Non-Rural,,,"Aguada Municipio, PR",Not applicable,179184.0,,0,4.0
72011,PR,Partially Rural,,,"Anasco Municipio, PR",Not applicable,179184.0,,0,4.0
72117,PR,Non-Rural,,,"Rincon Municipio, PR",Not applicable,179184.0,,0,4.0
72097,PR,Non-Rural,,,"Mayaguez Municipio, PR",Not applicable,179184.0,,0,4.0
72103,PR,Non-Rural,,,"Naguabo Municipio, PR",Not applicable,198308.0,,0,5.6
72069,PR,,,,"Humacao Municipio, PR",Not applicable,198308.0,,0,5.6
72085,PR,Non-Rural,,,"Las Piedras Municipio, PR",Not applicable,198308.0,,0,5.6
72129,PR,Non-Rural,,,"San Lorenzo Municipio, PR",Not applicable,198308.0,,0,5.6
72151,PR,Non-Rural,,,"Yabucoa Municipio, PR",Not applicable,198308.0,,0,5.6
72101,PR,Non-Rural,,,"Morovis Municipio, PR",Not applicable,91616.0,,0,2.1
72091,PR,Non-Rural,,,"Manati Municipio, PR",Not applicable,91616.0,,0,2.1
72039,PR,Non-Rural,,,"Ciales Municipio, PR",Not applicable,91616.0,,0,2.1
72043,PR,Rural,,,"Coamo Municipio, PR",Not applicable,157569.0,,0,5.3
72075,PR,Non-Rural,,,"Juana Diaz Municipio, PR",Not applicable,157569.0,,0,5.3
72123,PR,Rural,,,"Salinas Municipio, PR",Not applicable,157569.0,,0,5.3
72149,PR,Non-Rural,,,"Villalba Municipio, PR",Not applicable,157569.0,,0,5.3
72133,PR,Rural,,,"Santa Isabel Municipio, PR",Not applicable,157569.0,,0,5.3
72125,PR,Non-Rural,,,"San German Municipio, PR",Not applicable,127485.0,,0,4.2
72023,PR,Partially Rural,,,"Cabo Rojo Municipio, PR",Not applicable,127485.0,,0,4.2
72079,PR,Non-Rural,,,"Lajas Municipio, PR",Not applicable,127485.0,,0,4.2
72067,PR,Non-Rural,,,"Hormigueros Municipio, PR",Not applicable,127485.0,,0,4.2
72027,PR,Partially Rural,,,"Camuy Municipio, PR",Not applicable,163344.0,,0,3.4
72065,PR,Non-Rural,,,"Hatillo Municipio, PR",Not applicable,163344.0,,0,3.4
72093,PR,Rural,,,"Maricao Municipio, PR",Not applicable,163344.0,,0,3.4
72131,PR,Non-Rural,,,"San Sebastian Municipio, PR",Not applicable,163344.0,,0,3.4
72083,PR,Rural,,,"Las Marias Municipio, PR",Not applicable,163344.0,,0,3.4
72081,PR,Partially Rural,,,"Lares Municipio, PR",Not applicable,163344.0,,0,3.4
72009,PR,Non-Rural,,,"Aibonito Municipio, PR",Not applicable,78591.0,,0,1.1
72035,PR,Non-Rural,,,"Cayey Municipio, PR",Not applicable,78591.0,,0,1.1
72045,PR,Non-Rural,,,"Comerio Municipio, PR",Not applicable,139015.0,,0,4.6
72019,PR,Non-Rural,,,"Barranquitas Municipio, PR",Not applicable,139015.0,,0,4.6
72047,PR,Non-Rural,,,"Corozal Municipio, PR",Not applicable,139015.0,,0,4.6
72105,PR,Non-Rural,,,"Naranjito Municipio, PR",Not applicable,139015.0,,0,4.6
72107,PR,Partially Rural,,,"Orocovis Municipio, PR",Not applicable,139015.0,,0,4.6
72053,PR,Non-Rural,,,"Fajardo Municipio, PR",Not applicable,194933.0,,0,1.1
72089,PR,Non-Rural,,,"Luquillo Municipio, PR",Not applicable,194933.0,,0,1.1
72147,PR,Rural,,,"Vieques Municipio, PR",Not applicable,194933.0,,0,1.1
72119,PR,Partially Rural,,,"Rio Grande Municipio, PR",Not applicable,194933.0,,0,1.1
72087,PR,Non-Rural,,,"Loiza Municipio, PR",Not applicable,194933.0,,0,1.1
72029,PR,,,,"Canovanas Municipio, PR",Not applicable,194933.0,,0,1.1
72037,PR,Partially Rural,,,"Ceiba Municipio, PR",Not applicable,194933.0,,0,1.1
72049,PR,Rural,,,"Culebra Municipio, PR",Not applicable,194933.0,,0,1.1
72041,PR,Non-Rural,,,"Cidra Municipio, PR",Not applicable,259093.0,,0,11.0
72025,PR,Non-Rural,,,"Caguas Municipio, PR",Not applicable,259093.0,,0,11.0
72063,PR,Non-Rural,,,"Gurabo Municipio, PR",Not applicable,259093.0,,0,11.0
72007,PR,Non-Rural,,,"Aguas Buenas Municipio, PR",Not applicable,259093.0,,0,11.0
72077,PR,,,,"Juncos Municipio, PR",Not applicable,259093.0,,0,11.0
72115,PR,Non-Rural,,Psychiatrist,"Quebradillas Municipio, PR",Not applicable,168471.0,0.0,21,11.23
72065,PR,Non-Rural,,Psychiatrist,"Hatillo Municipio, PR",Not applicable,168471.0,0.0,21,11.23
72071,PR,Non-Rural,,Psychiatrist,"lsabela Municipio, PR",Not applicable,168471.0,0.0,21,11.23
72027,PR,Partially Rural,,Psychiatrist,"Camuy Municipio, PR",Not applicable,168471.0,0.0,21,11.23
72081,PR,Partially Rural,,Psychiatrist,"Lares Municipio, PR",Not applicable,168471.0,0.0,21,11.23
72141,PR,Partially Rural,,Psychiatrist,"Utuado Municipio, PR",Not applicable,168471.0,0.0,21,11.23
72051,PR,Non-Rural,,Psychiatrist,"Dorado Municipio, PR",Not applicable,128393.0,0.0,18,8.56
72135,PR,Non-Rural,,Psychiatrist,"Toa Alta Municipio, PR",Not applicable,128393.0,0.0,18,8.56
72137,PR,Non-Rural,,Psychiatrist,"Toa Baja Municipio, PR",Not applicable,128393.0,0.0,18,8.56
72093,PR,Rural,,Psychiatrist,"Maricao Municipio, PR",Not applicable,115482.0,14200.0,21,6.99
72011,PR,Partially Rural,,Psychiatrist,"Anasco Municipio, PR",Not applicable,115482.0,14200.0,21,6.99
72117,PR,Non-Rural,,Psychiatrist,"Rincon Municipio, PR",Not applicable,115482.0,14200.0,21,6.99
72083,PR,Rural,,Psychiatrist,"Las Marias Municipio, PR",Not applicable,115482.0,14200.0,21,6.99
72097,PR,Non-Rural,,Psychiatrist,"Mayaguez Municipio, PR",Not applicable,115482.0,14200.0,21,6.99
72123,PR,Rural,,Psychiatrist,"Salinas Municipio, PR",Not applicable,108654.0,38200.0,20,5.33
72035,PR,Non-Rural,,Psychiatrist,"Cayey Municipio, PR",Not applicable,108654.0,38200.0,20,5.33
72009,PR,Non-Rural,,Psychiatrist,"Aibonito Municipio, PR",Not applicable,108654.0,38200.0,20,5.33
72057,PR,Non-Rural,,Psychiatrist,"Guayama Municipio, PR",Not applicable,108654.0,38200.0,20,5.33
72039,PR,Non-Rural,,Psychiatrist,"Ciales Municipio, PR",Not applicable,46298.0,14800.0,20,2.35
72091,PR,Non-Rural,,Psychiatrist,"Manati Municipio, PR",Not applicable,46298.0,14800.0,20,2.35
72007,PR,Non-Rural,,Psychiatrist,"Aguas Buenas Municipio, PR",Not applicable,242300.0,8600.0,20,15.72
72101,PR,Non-Rural,,Psychiatrist,"Morovis Municipio, PR",Not applicable,242300.0,8600.0,20,15.72
72041,PR,Non-Rural,,Psychiatrist,"Cidra Municipio, PR",Not applicable,242300.0,8600.0,20,15.72
72047,PR,Non-Rural,,Psychiatrist,"Corozal Municipio, PR",Not applicable,242300.0,8600.0,20,15.72
72045,PR,Non-Rural,,Psychiatrist,"Comerio Municipio, PR",Not applicable,242300.0,8600.0,20,15.72
72019,PR,Non-Rural,,Psychiatrist,"Barranquitas Municipio, PR",Not applicable,242300.0,8600.0,20,15.72
72107,PR,Partially Rural,,Psychiatrist,"Orocovis Municipio, PR",Not applicable,242300.0,8600.0,20,15.72
72105,PR,Non-Rural,,Psychiatrist,"Naranjito Municipio, PR",Not applicable,242300.0,8600.0,20,15.72
72145,PR,Non-Rural,,Psychiatrist,"Vega Baja Municipio, PR",Not applicable,242300.0,8600.0,20,15.72
72113,PR,Non-Rural,00731,,"Ponce Municipio, PR",6,980.0,,6,0.24
72021,PR,Non-Rural,00961,,"Bayamo'n Municipio, PR",6,820.0,,6,0.16
72113,PR,Non-Rural,00731,,"Ponce Municipio, PR",6,897.0,,6,0.2
72063,PR,Non-Rural,,Psychiatrist,"Gurabo Municipio, PR",Not applicable,164689.0,56400.0,19,8.16
72025,PR,Non-Rural,,Psychiatrist,"Caguas Municipio, PR",Not applicable,164689.0,56400.0,19,8.16
72139,PR,Non-Rural,,Psychiatrist,"Trujillo Alto Municipio, PR",Not applicable,164689.0,56400.0,19,8.16
72147,PR,Rural,,Psychiatrist / Core Mental Health,"Vieques Municipio, PR",Not applicable,9162.0,0.0,19,2.04
72113,PR,Non-Rural,00731,,"Ponce Municipio, PR",6,916.0,,6,0.21
72121,PR,Non-Rural,,Psychiatrist,"Sabana Grande Municipio, PR",Not applicable,120105.0,6600.0,16,7.68
72023,PR,Partially Rural,,Psychiatrist,"Cabo Rojo Municipio, PR",Not applicable,120105.0,6600.0,16,7.68
72067,PR,Non-Rural,,Psychiatrist,"Hormigueros Municipio, PR",Not applicable,120105.0,6600.0,16,7.68
72079,PR,Non-Rural,,Psychiatrist,"Lajas Municipio, PR",Not applicable,120105.0,6600.0,16,7.68
72125,PR,Non-Rural,,Psychiatrist,"San German Municipio, PR",Not applicable,120105.0,6600.0,16,7.68
72061,PR,Non-Rural,00965,,"Guaynabo Municipio, PR",12,1239.0,,12,0.62
72021,PR,Non-Rural,00961,,"Bayamo'n Municipio, PR",6,780.0,,6,0.14
72054,PR,Non-Rural,,Psychiatrist,"Florida Municipio, PR",Not applicable,101389.0,11800.0,21,6.17
72013,PR,Non-Rural,,Psychiatrist,"Arecibo Municipio, PR",Not applicable,101389.0,11800.0,21,6.17
72017,PR,Non-Rural,,Psychiatrist,"Barceloneta Municipio, PR",Not applicable,101389.0,11800.0,21,6.17
72073,PR,Rural,,Psychiatrist,"Jayuya Municipio, PR",Not applicable,149321.0,77000.0,17,6.1
72001,PR,Rural,,Psychiatrist,"Adjuntas Municipio, PR",Not applicable,149321.0,77000.0,17,6.1
72113,PR,Non-Rural,,Psychiatrist,"Ponce Municipio, PR",Not applicable,149321.0,77000.0,17,6.1
72085,PR,Non-Rural,,Psychiatrist,"Las Piedras Municipio, PR",Not applicable,87354.0,49400.0,18,3.35
72037,PR,Partially Rural,,Psychiatrist,"Ceiba Municipio, PR",Not applicable,87354.0,49400.0,18,3.35
72103,PR,Non-Rural,,Psychiatrist,"Naguabo Municipio, PR",Not applicable,87354.0,49400.0,18,3.35
72053,PR,Non-Rural,,Psychiatrist,"Fajardo Municipio, PR",Not applicable,87354.0,49400.0,18,3.35
72013,PR,Non-Rural,00688,,"Arecibo Municipio, PR",6,985.0,,6,0.24
72021,PR,Non-Rural,00961,,"Bayamo'n Municipio, PR",6,2564.0,,6,1.03
72109,PR,Non-Rural,,Psychiatrist,"Patillas Municipio, PR",Not applicable,104084.0,0.0,20,6.94
72015,PR,Non-Rural,,Psychiatrist,"Arroyo Municipio, PR",Not applicable,104084.0,0.0,20,6.94
72095,PR,Partially Rural,,Psychiatrist,"Maunabo Municipio, PR",Not applicable,104084.0,0.0,20,6.94
72129,PR,Non-Rural,,Psychiatrist,"San Lorenzo Municipio, PR",Not applicable,104084.0,0.0,20,6.94
72151,PR,Non-Rural,,Psychiatrist,"Yabucoa Municipio, PR",Not applicable,104084.0,0.0,20,6.94
72133,PR,Rural,,Psychiatrist,"Santa Isabel Municipio, PR",Not applicable,105386.0,22600.0,19,5.9
72149,PR,Non-Rural,,Psychiatrist,"Villalba Municipio, PR",Not applicable,105386.0,22600.0,19,5.9
72043,PR,Rural,,Psychiatrist,"Coamo Municipio, PR",Not applicable,105386.0,22600.0,19,5.9
72075,PR,Non-Rural,,Psychiatrist,"Juana Diaz Municipio, PR",Not applicable,105386.0,22600.0,19,5.9
72127,PR,Partially Rural,,,"San Juan Municipio, PR",Not applicable,438400.0,,0,0.0
72113,PR,Non-Rural,,,"Ponce Municipio, PR",Not applicable,192000.0,,0,0.4
72013,PR,Non-Rural,00688,,"Arecibo Municipio, PR",6,956.0,,6,0.23
72061,PR,,,,"Guaynabo Municipio, PR",Not applicable,104927.0,,0,0.5
72021,PR,Non-Rural,,,"Bayamo'n Municipio, PR",Not applicable,231845.0,,0,0.9
70214,PW,,,Psychiatrist / Core Mental Health,"Ngaraard State, PW",Not applicable,19907.0,0.0,15,1.0
70218,PW,,,Psychiatrist / Core Mental Health,"Ngarchelong State, PW",Not applicable,19907.0,0.0,15,1.0
70002,PW,,,Psychiatrist / Core Mental Health,"Aimeliik State, PW",Not applicable,19907.0,0.0,15,1.0
70004,PW,,,Psychiatrist / Core Mental Health,"Airai State, PW",Not applicable,19907.0,0.0,15,1.0
70224,PW,,,Psychiatrist / Core Mental Health,"Ngatpang State, PW",Not applicable,19907.0,0.0,15,1.0
70370,PW,,,Psychiatrist / Core Mental Health,"Sonsorol State, PW",Not applicable,19907.0,0.0,15,1.0
70228,PW,,,Psychiatrist / Core Mental Health,"Ngiwal State, PW",Not applicable,19907.0,0.0,15,1.0
70150,PW,,,Psychiatrist / Core Mental Health,"Koror State, PW",Not applicable,19907.0,0.0,15,1.0
70212,PW,,,Psychiatrist / Core Mental Health,"Melekeok State, PW",Not applicable,19907.0,0.0,15,1.0
70350,PW,,,Psychiatrist / Core Mental Health,"Peleliu State, PW",Not applicable,19907.0,0.0,15,1.0
70010,PW,,,Psychiatrist / Core Mental Health,"Angaur State, PW",Not applicable,19907.0,0.0,15,1.0
70050,PW,,,Psychiatrist / Core Mental Health,"Hatoboheit State, PW",Not applicable,19907.0,0.0,15,1.0
70100,PW,,,Psychiatrist / Core Mental Health,"Kayangel State, PW",Not applicable,19907.0,0.0,15,1.0
70222,PW,,,Psychiatrist / Core Mental Health,"Ngardmau State, PW",Not applicable,19907.0,0.0,15,1.0
70226,PW,,,Psychiatrist / Core Mental Health,"Ngchesar State, PW",Not applicable,19907.0,0.0,15,1.0
70227,PW,,,Psychiatrist / Core Mental Health,"Ngernmlengui State, PW",Not applicable,19907.0,0.0,15,1.0
70150,PW,Rural,96940,,"Koror State, PW",,,,20,0.0
70004,PW,Rural,,Psychiatrist,"Airai State, PW",Not applicable,10762.0,0.0,20,0.72
70100,PW,Rural,,Psychiatrist,"Kayangel State, PW",Not applicable,10762.0,0.0,20,0.72
70002,PW,Rural,,Psychiatrist,"Aimeliik State, PW",Not applicable,10762.0,0.0,20,0.72
70228,PW,Rural,,Psychiatrist,"Ngiwal State, PW",Not applicable,10762.0,0.0,20,0.72
70010,PW,Rural,,Psychiatrist,"Angaur State, PW",Not applicable,10762.0,0.0,20,0.72
70150,PW,Rural,,Psychiatrist,"Koror State, PW",Not applicable,10762.0,0.0,20,0.72
70212,PW,Rural,,Psychiatrist,"Melekeok State, PW",Not applicable,10762.0,0.0,20,0.72
70214,PW,Rural,,Psychiatrist,"Ngaraard State, PW",Not applicable,10762.0,0.0,20,0.72
70222,PW,Rural,,Psychiatrist,"Ngardmau State, PW",Not applicable,10762.0,0.0,20,0.72
70050,PW,Rural,,Psychiatrist,"Hatoboheit State, PW",Not applicable,10762.0,0.0,20,0.72
70224,PW,Rural,,Psychiatrist,"Ngatpang State, PW",Not applicable,10762.0,0.0,20,0.72
70218,PW,Rural,,Psychiatrist,"Ngarchelong State, PW",Not applicable,10762.0,0.0,20,0.72
70227,PW,Rural,,Psychiatrist,"Ngernmlengui State, PW",Not applicable,10762.0,0.0,20,0.72
70350,PW,Rural,,Psychiatrist,"Peleliu State, PW",Not applicable,10762.0,0.0,20,0.72
70370,PW,Rural,,Psychiatrist,"Sonsorol State, PW",Not applicable,10762.0,0.0,20,0.72
70226,PW,Rural,,Psychiatrist,"Ngchesar State, PW",Not applicable,10762.0,0.0,20,0.72
69110,MP,Rural,96950,,"Saipan Municipality, MP",,,,18,
69110,MP,Rural,96950,,"Saipan Municipality, MP",,,,17,
69110,MP,Rural,96950,,"Saipan Municipality, MP",,,,16,0.0
69120,MP,Rural,,Psychiatrist,"Tinian Municipality, MP",Not applicable,53366.0,0.0,18,2.67
69085,MP,Rural,,Psychiatrist,"Northern Islands Municipality, MP",Not applicable,53366.0,0.0,18,2.67
69110,MP,Rural,,Psychiatrist,"Saipan Municipality, MP",Not applicable,53366.0,0.0,18,2.67
69100,MP,Rural,,Psychiatrist,"Rota Municipality, MP",Not applicable,53366.0,0.0,18,2.67
68090,MH,Rural,,Psychiatrist,"Enewetak, MH",Not applicable,53158.0,0.0,20,2.66
68420,MH,Rural,,Psychiatrist,"Wotho, MH",Not applicable,53158.0,0.0,20,2.66
68410,MH,Rural,,Psychiatrist,"Utrik, MH",Not applicable,53158.0,0.0,20,2.66
68130,MH,Rural,,Psychiatrist,"Jemo Municipality, MH",Not applicable,53158.0,0.0,20,2.66
68150,MH,Rural,,Psychiatrist,"Kwajalein, MH",Not applicable,53158.0,0.0,20,2.66
68190,MH,Rural,,Psychiatrist,"Majuro, MH",Not applicable,53158.0,0.0,20,2.66
68430,MH,Rural,,Psychiatrist,"Wotje, MH",Not applicable,53158.0,0.0,20,2.66
68080,MH,Rural,,Psychiatrist,"Ebon, MH",Not applicable,53158.0,0.0,20,2.66
68350,MH,Rural,,Psychiatrist,"Rongelap, MH",Not applicable,53158.0,0.0,20,2.66
68050,MH,Rural,,Psychiatrist,"Aur, MH",Not applicable,53158.0,0.0,20,2.66
68390,MH,Rural,,Psychiatrist,"Ujae, MH",Not applicable,53158.0,0.0,20,2.66
68385,MH,Rural,,Psychiatrist,"Toke, MH",Not applicable,53158.0,0.0,20,2.66
68330,MH,Rural,,Psychiatrist,"Namorik, MH",Not applicable,53158.0,0.0,20,2.66
68360,MH,Rural,,Psychiatrist,"Rongrik, MH",Not applicable,53158.0,0.0,20,2.66
68310,MH,Rural,,Psychiatrist,"Mejit, MH",Not applicable,53158.0,0.0,20,2.66
68340,MH,Rural,,Psychiatrist,"Namu, MH",Not applicable,53158.0,0.0,20,2.66
68170,MH,Rural,,Psychiatrist,"Lib, MH",Not applicable,53158.0,0.0,20,2.66
68100,MH,Rural,,Psychiatrist,"Erikub, MH",Not applicable,53158.0,0.0,20,2.66
68320,MH,Rural,,Psychiatrist,"Mili, MH",Not applicable,53158.0,0.0,20,2.66
68160,MH,Rural,,Psychiatrist,"Lae, MH",Not applicable,53158.0,0.0,20,2.66
68007,MH,Rural,,Psychiatrist,"Ailinginae, MH",Not applicable,53158.0,0.0,20,2.66
68070,MH,Rural,,Psychiatrist,"Bikini, MH",Not applicable,53158.0,0.0,20,2.66
68010,MH,Rural,,Psychiatrist,"Ailinglaplap, MH",Not applicable,53158.0,0.0,20,2.66
68300,MH,Rural,,Psychiatrist,"Maloelap, MH",Not applicable,53158.0,0.0,20,2.66
68400,MH,Rural,,Psychiatrist,"Ujelang, MH",Not applicable,53158.0,0.0,20,2.66
68120,MH,Rural,,Psychiatrist,"Jaluit, MH",Not applicable,53158.0,0.0,20,2.66
68110,MH,Rural,,Psychiatrist,"Jabat, MH",Not applicable,53158.0,0.0,20,2.66
68040,MH,Rural,,Psychiatrist,"Arno, MH",Not applicable,53158.0,0.0,20,2.66
68060,MH,Rural,,Psychiatrist,"Bikar, MH",Not applicable,53158.0,0.0,20,2.66
68073,MH,Rural,,Psychiatrist,"Bokak, MH",Not applicable,53158.0,0.0,20,2.66
68030,MH,Rural,,Psychiatrist,"Ailuk, MH",Not applicable,53158.0,0.0,20,2.66
68180,MH,Rural,,Psychiatrist,"Likiep, MH",Not applicable,53158.0,0.0,20,2.66
66010,GU,Non-Rural,96917,,"Guam, GU",,,,19,0.0
66010,GU,Rural,,,"Guam, GU",Not applicable,132726.0,,0,2.6
66010,GU,Rural,,Psychiatrist,"Guam, GU",Not applicable,82842.0,2600.0,16,5.39
66010,GU,,,Psychiatrist,"Guam, GU",Not applicable,159358.0,141000.0,12,3.27
64005,FM,Rural,96944,,"Kosrae State, FM",,,,17,
64002,FM,Rural,96942,,"Chuuk State, FM",,,,18,
64040,FM,Rural,96941,,"Pohnpei State, FM",,,,19,0.0
64060,FM,Rural,96943,,"Yap State, FM",,,,18,0.0
64060,FM,Rural,,Psychiatrist / Core Mental Health,"Yap State, FM",Not applicable,11377.0,0.0,16,2.53
64005,FM,Rural,,Psychiatrist / Core Mental Health,"Kosrae State, FM",Not applicable,6616.0,0.0,14,1.47
64002,FM,Rural,,Psychiatrist / Core Mental Health,"Chuuk State, FM",Not applicable,48654.0,0.0,18,10.81
64040,FM,Rural,,Psychiatrist / Core Mental Health,"Pohnpei State, FM",Not applicable,36196.0,0.0,17,8.04
60050,AS,Rural,96799,,"Western District, AS",,,,19,0.0
60050,AS,Rural,,Psychiatrist / Core Mental Health,"Western District, AS",Not applicable,55009.0,0.0,19,12.22
60010,AS,Rural,,Psychiatrist / Core Mental Health,"Eastern District, AS",Not applicable,55009.0,0.0,19,12.22
60040,AS,Rural,,Psychiatrist / Core Mental Health,"Swains Island, AS",Not applicable,55009.0,0.0,19,12.22
60020,AS,Rural,,Psychiatrist / Core Mental Health,"Manu'a District, AS",Not applicable,55009.0,0.0,19,12.22
60030,AS,Rural,,Psychiatrist / Core Mental Health,"Rose Island, AS",Not applicable,55009.0,0.0,19,12.22
56001,WY,Rural,82071-2000,,"Albany County, WY",,,,20,
56021,WY,Non-Rural,82001-4714,,"Laramie County, WY",,,,15,
56017,WY,Rural,82443-2410,,"Hot Springs County, WY",,,,14,
56043,WY,Rural,82401-4021,,"Washakie County, WY",,,,14,
56003,WY,Rural,82431-9537,,"Big Horn County, WY",,,,14,
56029,WY,Rural,82435-2338,,"Park County, WY",,,,21,
56011,WY,Rural,82721,,"Crook County, WY",,,,20,
56011,WY,Rural,82729,,"Crook County, WY",,,,20,
56011,WY,Rural,82720,,"Crook County, WY",,,,20,
56037,WY,Rural,82901-6269,,"Sweetwater County, WY",,,,14,0.0
56013,WY,Rural,82514-0128,,"Fremont County, WY",,,,20,0.0
56013,WY,Rural,82501-0158,,"Fremont County, WY",,,,19,0.0
56013,WY,Rural,82514-0538,,"Fremont County, WY",,,,13,0.0
56013,WY,Rural,82514-0396,,"Fremont County, WY",,,,0,0.0
56013,WY,Rural,82514-2122,,"Fremont County, WY",,,,0,0.0
56021,WY,Non-Rural,82007-2559,,"Laramie County, WY",,,,13,0.0
56021,WY,Non-Rural,82001-4576,,"Laramie County, WY",,,,15,0.0
56025,WY,Rural,82601-1362,,"Natrona County, WY",,,,16,0.0
56021,WY,Non-Rural,82001,,"Laramie County, WY",,,,14,0.0
56013,WY,Rural,82510-9144,,"Fremont County, WY",,,,14,0.0
56025,WY,Non-Rural,82601-2217,,"Natrona County, WY",,,,16,0.0
56025,WY,Partially Rural,,Psychiatrist,"Natrona County, WY",Not applicable,124497.0,100000.0,0,1.23
